Word_ID	Form	Cognate_set_ID	Segments	Alignment	Doubt	Cognate_detection_method	Cognate_source	Alignment_method	Alignment_source
4594	ɕɔ⁵⁵	595	ɕ ɔ ⁵⁵	ɕ - ɔ ⁵⁵		expert	Hill2017	LingPy:SCA	
4597	ʃo⁵¹	595	ʃ o ⁵¹	ʃ - o ⁵¹		expert	Hill2017	LingPy:SCA	
4600	ʃa⁵⁵	595	ʃ a ⁵⁵	ʃ - a ⁵⁵		expert	Hill2017	LingPy:SCA	
4605	jo̱³³	595	j o̰ ³³	- j o̰ ³³		expert	Hill2017	LingPy:SCA	
4608	ʃɔ³¹	595	ʃ ɔ ³¹	ʃ - ɔ ³¹		expert	Hill2017	LingPy:SCA	
4610	çɔ⁵⁵	595	ç ɔ ⁵⁵	ç - ɔ ⁵⁵		expert	Hill2017	LingPy:SCA	
4615	tɕoi⁵⁵	65	tɕ o i ⁵⁵	tɕ o i ⁵⁵		expert	Hill2017	LingPy:SCA	
1452	ʂa³¹	75	ʂ a ³¹	ʂ a ³¹		expert	Hill2017	LingPy:SCA	
4618	tsui⁵¹	65	ts u i ⁵¹	ts u i ⁵¹		expert	Hill2017	LingPy:SCA	
4620	tui⁵⁵	65	t u i ⁵⁵	t u i ⁵⁵		expert	Hill2017	LingPy:SCA	
526	ʂək⁵⁵kʐaŋ⁵⁵	310	ʂ ə k ⁵⁵ + k ʐ a ŋ ⁵⁵	ʂ ə k ⁵⁵ + k ʐ a ŋ ⁵⁵		expert	Hill2017	LingPy:SCA	
528	sik⁵⁵kja̱ŋ⁵¹	310	s i k ⁵⁵ + k j a̰ ŋ ⁵¹	s i k ⁵⁵ + k j a̰ ŋ ⁵¹		expert	Hill2017	LingPy:SCA	
529	sak⁵⁵ka̱ʔ⁵⁵	9	s a k ⁵⁵ + k a̰ ʔ ⁵⁵	s a k ⁵⁵ + k a̰ ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
532	sə̱k⁵⁵kɔ̱ʔ⁵⁵	9	s ə̰ k ⁵⁵ + k ɔ̰ ʔ ⁵⁵	s ə̰ k ⁵⁵ + k ɔ̰ ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
533	sa̱k⁵⁵kɔ̱ʔ⁵⁵	9	s a̰ k ⁵⁵ + k ɔ̰ ʔ ⁵⁵	s a̰ k ⁵⁵ + k ɔ̰ ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
4630	cui⁵⁵	65	c u i ⁵⁵	c u i ⁵⁵		expert	Hill2017	LingPy:SCA	
